Região/Unidade da Federação;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;Total
.. Rondônia;123;156;166;140;149;168;220;178;152;142;155;154;1903
.. Acre;45;30;33;41;40;27;40;49;33;32;23;20;413
.. Amazonas;295;348;327;361;329;341;272;259;310;305;220;272;3639
.. Roraima;24;33;23;37;43;24;23;26;30;57;22;30;372
.. Pará;479;408;456;446;473;489;470;511;485;480;463;435;5595
.. Amapá;43;40;29;39;45;29;35;27;24;38;27;34;410
.. Tocantins;72;96;92;113;85;68;101;116;101;93;85;103;1125
.. Maranhão;360;353;376;383;381;341;420;360;327;342;344;358;4345
.. Piauí;241;259;267;267;218;209;212;201;202;221;189;182;2668
.. Ceará;586;528;632;582;595;634;770;716;685;634;577;644;7583
.. Rio Grande do Norte;150;143;153;154;142;159;165;141;180;168;178;141;1874
.. Paraíba;218;225;260;247;225;208;236;292;288;264;249;235;2947
.. Pernambuco;793;742;792;786;843;741;842;875;814;816;735;832;9611
.. Alagoas;109;100;76;101;118;110;137;113;143;184;138;161;1490
.. Sergipe;104;95;79;68;85;80;110;121;96;99;107;114;1158
.. Bahia;1184;1183;1171;1150;1190;1162;1371;1387;1365;1424;1295;1198;15080
.. Minas Gerais;2348;2588;2305;2502;2470;2507;2632;2784;2615;2693;2458;2497;30399
.. Espírito Santo;310;302;318;304;306;330;353;338;366;377;334;350;3988
.. Rio de Janeiro;973;897;829;873;958;918;1083;1061;1036;936;955;952;11471
.. São Paulo;3194;3096;3142;3086;3238;3452;4007;4015;3824;3788;3607;3611;42060
.. Paraná;1587;1436;1384;1301;1424;1606;1737;1858;1808;1751;1701;1459;19052
.. Santa Catarina;700;669;599;639;654;664;776;793;800;770;656;697;8417
.. Rio Grande do Sul;1352;1100;1146;1099;1078;1353;1422;1525;1368;1543;1383;1274;15643
.. Mato Grosso do Sul;242;211;210;244;227;282;234;270;285;296;238;245;2984
.. Mato Grosso;280;278;285;273;268;275;269;308;314;270;260;257;3337
.. Goiás;478;438;465;453;441;439;547;545;481;508;443;478;5716
.. Distrito Federal;138;141;195;157;176;175;214;207;180;161;170;179;2093
Total;16428;15895;15810;15846;16201;16791;18698;19076;18312;18392;17012;16912;205373
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
 ;;;;;;;;;;;;;
