Região/Unidade da Federação;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;Total
.. Rondônia;25;22;17;24;20;16;27;25;21;23;19;23;262
.. Acre;14;9;12;11;13;11;13;11;6;4;6;9;119
.. Amazonas;45;36;32;46;37;38;30;41;38;30;40;40;453
.. Roraima;8;5;7;3;7;3;7;3;4;4;4;1;56
.. Pará;63;63;79;75;76;76;65;73;73;77;74;68;862
.. Amapá;7;3;9;5;8;4;9;7;9;7;13;4;85
.. Tocantins;13;10;17;25;20;22;18;18;17;14;16;7;197
.. Maranhão;59;56;72;84;71;67;59;62;60;92;54;64;800
.. Piauí;50;36;43;42;42;31;30;32;25;21;30;39;421
.. Ceará;110;101;136;145;134;112;105;111;101;122;103;103;1383
.. Rio Grande do Norte;33;25;24;42;32;28;37;40;40;38;21;35;395
.. Paraíba;56;44;65;51;52;58;43;52;61;57;63;64;666
.. Pernambuco;89;82;92;64;91;101;95;115;91;92;74;73;1059
.. Alagoas;38;35;45;41;42;34;48;47;30;28;33;30;451
.. Sergipe;13;18;13;18;31;16;19;24;22;23;17;27;241
.. Bahia;157;174;161;183;177;175;189;166;184;168;159;163;2056
.. Minas Gerais;323;287;339;388;394;394;399;393;331;333;325;325;4231
.. Espírito Santo;2;0;1;0;0;0;0;3;2;0;1;4;13
.. Rio de Janeiro;255;236;290;291;285;317;310;322;321;275;271;271;3444
.. São Paulo;590;552;657;638;677;741;761;748;698;548;588;552;7750
.. Paraná;132;141;173;143;164;219;192;176;202;147;156;160;2005
.. Santa Catarina;84;61;86;85;101;113;123;115;92;94;88;72;1114
.. Rio Grande do Sul;135;129;119;158;177;193;185;192;188;200;150;134;1960
.. Mato Grosso do Sul;39;19;31;25;40;45;28;35;41;33;21;31;388
.. Mato Grosso;33;33;26;34;36;39;24;36;32;24;36;42;395
.. Goiás;73;67;85;92;82;91;83;84;65;68;62;62;914
.. Distrito Federal;22;24;27;19;18;21;21;30;17;18;24;27;268
Total;2468;2268;2658;2732;2827;2965;2920;2961;2771;2540;2448;2430;31988
